timestamp,course,heading,latitude,longitude,speed,vessel_id,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor),rpm,fuel_consumption_t_per_day,fuel_consumption_t_per_hour,fuel_cost_usd_per_hour
2026-03-01 05:15:00,179.3999939,21.57999992,32.82947159,-79.89360046,0.0,IMO1,0.03057429,0.1357778,0.37975499,0.00066726,0.0,0.31589338,0.23806602,50.46429062,0.15510285,0.33164856,0.29966274,45.21881866,0.16987474,0.00565819,0.06861404,0.0479234,0.00530989,0.0721584,0.05335135,0.33124179,0.16348462,0.17432263,0.00541127,0.00686376,0.0048857,0.0,0.0,0.0,0.0
2026-03-01 05:30:00,353.0,21.70999908,32.82947159,-79.89360046,0.0,IMO1,0.01834722,0.0826483,0.34371799,4.65e-05,0.0,0.32307729,0.29089931,45.58119965,0.16596542,0.32148317,0.24429481,46.78559875,0.15909371,0.00603615,0.07097328,0.0511369,0.00522262,0.06696637,0.04704583,0.32502311,0.14821492,0.16640083,0.00558184,0.00748337,0.00522835,0.0,0.0,0.0,0.0
2026-03-01 05:45:00,195.1000061,21.65999985,32.82947922,-79.89360046,0.0,IMO1,0.01718399,0.1021995,0.23924109,7.33e-06,0.0,0.30589616,0.30089635,46.5021019,0.15496327,0.32765394,0.30493686,44.05205917,0.1689876,0.00625123,0.06354357,0.04975082,0.00488187,0.06940681,0.05239774,0.32292584,0.13681921,0.15819837,0.00549711,0.0067281,0.00487071,0.0,0.0,0.0,0.0
2026-03-01 06:00:00,15.0,21.62000084,32.8294487,-79.89362335,0.0026936,IMO1,0.05911705,0.1184444,0.31008479,2.37e-06,0.0,0.31386265,0.26241568,64.87624359,0.15508032,0.32644531,0.26152125,34.31620026,0.16105191,0.0060464,0.06151046,0.04409365,0.00540732,0.06369534,0.04698473,0.31510255,0.15187763,0.16453245,0.00551306,0.00747082,0.0051443,0.0107744,8.685939339491556e-10,3.619141391454815e-11,3.619141391454815e-08
2026-03-01 06:15:00,195.1000061,21.63999939,32.82947922,-79.89360046,0.0,IMO1,0.05072379,0.1095312,0.4433254,1e-07,0.0,0.31364655,0.24503905,37.9371109,0.15347157,0.32551235,0.284307,50.61074829,0.16690689,0.0058325,0.06132533,0.04394569,0.00507518,0.06920348,0.05097898,0.3168543,0.14661203,0.15971796,0.00548403,0.00734241,0.00510342,0.0,0.0,0.0,0.0
2026-03-01 06:30:00,195.1000061,21.65999985,32.82947159,-79.89362335,0.00157127,IMO1,0.01343999,0.06576316,0.392692,2.631e-05,0.0,0.32649413,0.2451181,38.1288414,0.16110709,0.33696327,0.31548971,45.08903885,0.17043437,0.00617719,0.07038181,0.04786894,0.00518484,0.06907216,0.05176138,0.33202726,0.14938053,0.16869086,0.0055104,0.00653684,0.00483059,0.00628508,1.7241297190255036e-10,7.1838738292729315e-12,7.183873829272931e-09
2026-03-01 06:45:00,195.0,21.56999969,32.82947159,-79.89360046,0.0,IMO1,0.03764789,0.1026667,0.2476007,0.00082505,0.0,0.31359556,0.23134013,47.44779968,0.15313926,0.32715726,0.26395065,38.25973129,0.16166827,0.00577832,0.06353852,0.04417088,0.00564151,0.06737901,0.04801678,0.3348012,0.14552562,0.16195452,0.00553966,0.00748997,0.00524249,0.0,0.0,0.0,0.0
2026-03-01 07:00:00,15.0,21.62000084,32.82947159,-79.89360046,0.0,IMO1,0.00453537,0.1701844,0.31332269,0.0,0.0,0.31767771,0.25192782,39.7935791,0.15735595,0.32879797,0.2796005,41.09078979,0.16916913,0.00543976,0.06384359,0.04590379,0.00768752,0.06675167,0.04885057,0.32851121,0.15485056,0.16833071,0.00574426,0.00793295,0.00542947,0.0,0.0,0.0,0.0
2026-03-01 07:15:00,195.0,21.57999992,32.82947159,-79.89362335,0.0,IMO1,0.01581712,0.04843368,0.6517064,7e-08,0.0,0.31368613,0.29495984,51.91473007,0.15955742,0.32551089,0.25313085,46.06224823,0.15948272,0.00527289,0.0646446,0.04882619,0.00612426,0.06478685,0.04610457,0.33957362,0.1434328,0.16558436,0.00535315,0.00762518,0.00517359,0.0,0.0,0.0,0.0
2026-03-01 07:30:00,15.19999981,21.79999924,32.82947922,-79.89360046,0.0,IMO1,0.0028941,0.08355556,0.3227931,0.0,0.0,0.3198832,0.28351447,40.5644989,0.16035658,0.32765812,0.25390527,37.70420837,0.16275099,0.0057462,0.06665846,0.04890859,0.0076179,0.06805948,0.04836551,0.32756418,0.14641643,0.16386209,0.00580776,0.0075431,0.00536861,0.0,0.0,0.0,0.0
2026-03-01 07:45:00,195.30000305,21.88999939,32.82947159,-79.89360046,0.0,IMO1,0.00340108,0.1284444,0.3063668,5.612e-05,0.0,0.31943461,0.24107128,46.5805397,0.1561586,0.34557539,0.26118165,27.80599022,0.16740504,0.00750361,0.06144159,0.04385016,0.01004397,0.0673872,0.04837931,0.32451123,0.16206357,0.17080107,0.00573819,0.00788084,0.00536997,0.0,0.0,0.0,0.0
2026-03-01 08:00:00,15.19999981,21.75,32.82947922,-79.89359283,0.00123596,IMO1,0.01743486,0.14352369,0.4232358,0.00074072,0.0,0.32212168,0.28391585,57.09128952,0.16510965,0.33147547,0.26476359,47.54504013,0.16372041,0.0068132,0.06851986,0.04979909,0.00792379,0.06457502,0.04654681,0.32429755,0.1491784,0.16604438,0.00588621,0.00857109,0.00582843,0.00494384,8.391328615167713e-11,3.496386922986547e-12,3.4963869229865473e-09
2026-03-01 08:15:00,195.1000061,21.70999908,32.82947159,-79.89360046,0.0,IMO1,0.01307384,0.07444444,0.16853601,3.5e-07,0.0,0.31386039,0.27802086,38.01203918,0.157749,0.34147987,0.31216905,56.39051056,0.17317331,0.00562288,0.06184524,0.04688568,0.00952273,0.06824625,0.05071271,0.33633825,0.14771686,0.17045376,0.00552799,0.00796279,0.00544632,0.0,0.0,0.0,0.0
